date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2008-01-02 | 1
2022-03-29 | 1001
2022-03-29 | 1000

2010/10/19 | 1000
2012-01-11|3 
2012-01-11 | abc
2012-01-11 | 12abc    
2012-01-11 |        
| 3    
2012-01-11  3  

   2011-01-03 | 3
2011-01-03| 3
2011-01-03  | 3
2011-01-03 |3
2011-01-03 |  3
2011-01-03 | 3 
2011-01-3 | 3

2012-02-29 | 1 
2000-02-29 | 1 
2400-02-29 | 1 
2200-02-29 | 1
2011-02-29 | 1 
1900-02-29 | 1 
2012-02-30 | 1

2011-01-31 | 1
2011-02-31 | 1
2011-03-31 | 1
2011-04-31 | 1
2011-05-31 | 1
2011-06-31 | 1
2011-07-31 | 1
2011-08-31 | 1
2011-09-31 | 1
2011-10-31 | 1
2011-11-31 | 1
2011-12-31 | 1
